"source","table","year","seafood_lb","seafood_kg","seafood_mt"
"FB 181","Table 2",1916,95003000,43092641.4362652,43092.6414362652
"FB 181","Table 2",1917,209877000,95198618.0091054,95198.6180091054
"FB 181","Table 2",1918,261134000,118448405.090552,118448.405090552
"FB 181","Table 2",1919,266270000,120778055.800705,120778.055800705
"FB 181","Table 2",1920,222004000,100699333.383331,100699.333383331
"FB 181","Table 2",1921,135348000,61392827.9434926,61392.8279434926
"FB 181","Table 2",1922,182343000,82709404.0968486,82709.4040968486
"FB 181","Table 2",1923,253875000,115155777.655778,115155.777655778
"FB 181","Table 2",1924,340446000,154423727.739237,154423.727739237
"FB 181","Table 2",1925,437502000,198447594.430164,198447.594430164
"FB 181","Table 2",1926,394964000,179152679.728357,179152.679728357
"FB 181","Table 2",1927,487166000,220974808.773824,220974.808773824
"FB 181","Table 2",1928,583527000,264683428.727298,264683.428727298
"FB 181","Table 2",1929,856854000,388662486.292323,388662.486292323
"FB 181","Table 2",1930,702189000,318507613.417362,318507.613417362
"FB 181","Table 2",1931,502390000,227880299.897533,227880.299897533
"FB 181","Table 2",1932,556139000,252260439.309528,252260.439309528
"FB 181","Table 2",1933,821805000,372764525.283727,372764.525283727
"FB 181","Table 2",1934,1390798000,630855441.662629,630855.441662629
"FB 181","Table 2",1935,1448017000,656809546.799748,656809.546799748
"FB 181","Table 2",1936,1764900000,800545276.158274,800545.276158274
"FB 181","Table 2",1937,1362984000,618239221.870536,618239.221870536
"FB 181","Table 2",1938,1310596000,594476421.753034,594476.421753034
"FB 181","Table 2",1939,1486535000,674281019.941039,674281.019941039
"FB 181","Table 2",1940,1297518000,588544339.97979,588544.33997979
"FB 181","Table 2",1941,1528892000,693493834.413381,693493.834413381
"FB 181","Table 2",1942,1173414000,532251705.296609,532251.705296609
"FB 181","Table 2",1943,1234049000,559755282.167739,559755.282167739
"FB 181","Table 2",1944,1459456000,661998190.583517,661998.190583517
"FB 181","Table 2",1945,1216501000,551795642.241383,551795.642241383
"FB 181","Table 2",1946,919822000,417224294.297952,417224.294297952
"FB 181","Table 2",1947,795499000,360832322.873041,360832.322873041
"FB 181","Table 2",1948,900467000,408445012.85422,408445.01285422
"FB 181","Table 2",1949,1135339000,514981173.600917,514981.173600917
"FB 181","Table 2",1950,1366676000,619913885.114672,619913.885114672
"FB 181","Table 2",1951,907114000,411460041.723064,411460.041723064
"FB 181","Table 2",1952,694996000,315244923.082835,315244.923082835
"FB 181","Table 2",1953,618919000,280736971.938695,280736.971938695
"FB 181","Table 2",1954,713410000,323597374.05183,323597.37405183
"FB 181","Table 2",1955,710713000,322374035.273543,322374.035273543
"FB 181","Table 2",1956,772551000,350423283.835543,350423.283835543
"FB 181","Table 2",1957,738550000,335000687.69148,335000.68769148
"FB 181","Table 2",1958,832919000,377805751.5284,377805.7515284
"FB 181","Table 2",1959,713423000,323603270.753393,323603.270753393
"FB 181","Table 2",1960,694663000,315093876.804315,315093.876804315
"FB 181","Table 2",1961,725253000,328969269.176507,328969.269176507
"FB 181","Table 2",1962,663107000,300780314.146685,300780.314146685
"FB 181","Table 2",1963,592899000,268934496.962414,268934.496962414
"FB 181","Table 2",1964,591131000,268132545.549729,268132.545549729
"FB 181","Table 2",1965,544480000,246972005.191601,246972.005191601
"FB 181","Table 2",1966,591533000,268314889.705781,268314.889705781
"FB 181","Table 2",1967,589028000,267178640.673667,267178.640673667
"FB 181","Table 2",1968,567214000,257283975.449509,257283.975449509
"FB 181","Table 2",1969,672793000,305173810.404189,305173.810404189
"FB 181","Table 2",1970,798415000,362154998.393058,362154.998393058
"FB 181","Table 2",1971,687995000,312069322.494482,312069.322494482
"FB 181","Table 2",1972,845699000,383602662.758103,383602.662758103
"FB 181","Table 2",1973,1006431000,456509480.893675,456509.480893675
"FB 181","Table 2",1974,938118000,425523221.360444,425523.221360444
"FB 181","Table 2",1975,979826000,444441654.347021,444441.654347021
"FB 181","Table 2",1976,1047761000,475256455.942472,475256.455942472
"FB 181","Table 2",1977,1045147000,474070765.335708,474070.765335708
"FB 181","Table 2",1978,918035000,416413724.629135,416413.724629135
"FB 181","Table 2",1979,849554000,385351261.568002,385351.261568002
"FB 181","Table 2",1980,1010527000,458367395.478719,458367.395478719
"FB 181","Table 2",1981,971959000,440873242.716029,440873.242716029
"FB 181","Table 2",1982,846765000,384086192.28634,384086.19228634
"FB 181","Table 2",1983,649602000,294654548.40669,294654.54840669
"FB 181","Table 2",1984,496296000,225116107.641366,225116.107641366
"FB 181","Table 2",1985,367012000,166473864.1812,166473.8641812
"FB 181","Table 2",1986,422585000,191681356.181848,191681.356181848
"FB 181","Table 2",1987,422765000,191763002.818886,191763.002818886
"FB 181","Table 2",1988,495421000,224719214.266875,224719.214266875
"FB 181","Table 2",1989,487055000,220924460.014317,220924.460014317
"FB 181","Table 2",1990,395657000,179467019.280953,179467.019280953
"FB 181","Table 2",1991,371534000,168525009.140568,168525.009140568
"FB 181","Table 2",1992,299247000,135736173.298507,135736.173298507
"FB 181","Table 2",1993,318329000,144391624.009398,144391.624009398
"FB 181","Table 2",1994,330503000,149913658.22774,149913.65822774
"FB 181","Table 2",1995,430244000,195155420.587818,195155.420587818
"FB 181","Table 2",1996,462176000,209639533.998372,209639.533998372
"FB 181","Table 2",1997,492555000,223419218.368258,223419.218368258
"FB 181","Table 2",1998,282180000,127994711.330014,127994.711330014
"FB 181","Table 2",1999,473985000,214996006.980497,214996.006980497
