"source","table","season","year","nvessels"
"FB 44","Table 30","1934-35",1934,2123
"FB 49","Table 141","1935-36",1935,2453
"FB 57","Table 5","1936-37",1936,2660
"FB 57","Table 5","1937-38",1937,2843
"FB 57","Table 5","1938-39",1938,3057
"FB 57","Table 6","1939-40",1939,3110
"FB 58","Table 12","1940-41",1940,3454
"FB 59","Table 18","1941-42",1941,3202
"FB 59","Table 19","1942-43",1942,2965
"FB 63","Table 25","1943-44",1943,3726
"FB 63","Table 26","1944-45",1944,3782
"FB 67","Table 25","1945-46",1945,4145
"FB 67","Table 26","1946-47",1946,4857
"FB 74","Table 31","1947-48",1947,5042
"FB 80","Table 7","1948-49",1948,5722
"FB 80","Table 8","1949-50",1949,6160
"FB 86","Table 7","1950-51",1950,6103
"FB 89","Table 13","1951-52",1951,5837
"FB 95","Table 9","1952-53",1952,5454
"FB 102","Table 9","1953-54",1953,5430
"FB 102","Table 10","1954-55",1954,4902
"FB 105","Table 12","1955-56",1955,4450
"FB 105","Table 13","1956-57",1956,4352
"FB 108","Table 5","1957-58",1957,4255
"FB 108","Table 5","1958-59",1958,3839
"FB 111","Table 5","1959-60",1959,3672
"FB 117","Table 5","1960-61",1960,3649
"FB 121","Table 5","1961-62",1961,3872
"FB 125","Table 5","1962-63",1962,3854
"FB 132","Table 5","1963-64",1963,3842
"FB 132","Table 5","1964-65",1964,4062
"FB 135","Table 5","1965-66",1965,4329
"FB 138","Table 5","1966-67",1966,4368
"FB 144","Table 5","1967-68",1967,4646
"FB 149","Table 5","1968-69",1968,4854
"FB 153","Table 5","1969-70",1969,4848
"FB 159","Table 5","1970-71",1970,4337
"FB 159","Table 5","1971-72",1971,4962
"FB 161","Table 5","1972-73",1972,5261
"FB 163","Table 5","1973-74",1973,5932
"FB 166","Table 5","1974-75",1974,6932
"FB 168","Table 5","1975-76",1975,6818
"FB 181","Table 3","1976-77",1976,7268
"FB 181","Table 3","1977-78",1977,8421
"FB 181","Table 3","1978-79",1978,9654
"FB 181","Table 3","1979-80",1979,6635
"FB 181","Table 3","1980-81",1980,9229
"FB 181","Table 3","1981-82",1981,8427
"FB 181","Table 3","1982-83",1982,8173
"FB 181","Table 3","1983-84",1983,8282
"FB 181","Table 3","1984-85",1984,7678
"FB 181","Table 3","1985-86",1985,7188
"FB 181","Table 3","1986-87",1986,6680
"FB 181","Table 3","1987-88",1987,6661
"FB 181","Table 3","1988-89",1988,6710
"FB 181","Table 3","1989-90",1989,6704
"FB 181","Table 3","1990-91",1990,6621
"FB 181","Table 3","1991-92",1991,6744
"FB 181","Table 3","1992-93",1992,6221
"FB 181","Table 3","1993-94",1993,5533
"FB 181","Table 3","1994-95",1994,5577
"FB 181","Table 3","1995-96",1995,5439
"FB 181","Table 3","1996-97",1996,5358
"FB 181","Table 3","1997-98",1997,5018
"FB 181","Table 3","1998-99",1998,4801
"FB 181","Table 3","1999-00",1999,4866
"CDFW 2021","NA","2000-2001",2000,4750
"CDFW 2021","NA","2001-2002",2001,4584
"CDFW 2021","NA","2002-2003",2002,4041
"CDFW 2021","NA","2003-2004",2003,3831
"CDFW 2021","NA","2004-2005",2004,3630
"CDFW 2021","NA","2005-2006",2005,3495
"CDFW 2021","NA","2006-2007",2006,3350
"CDFW 2021","NA","2007-2008",2007,3294
"CDFW 2021","NA","2008-2009",2008,3217
"CDFW 2021","NA","2009-2010",2009,3162
"CDFW 2021","NA","2010-2011",2010,3114
"CDFW 2021","NA","2011-2012",2011,3127
"CDFW 2021","NA","2012-2013",2012,3146
"CDFW 2021","NA","2013-2014",2013,3131
"CDFW 2021","NA","2014-2015",2014,3109
"CDFW 2021","NA","2015-2016",2015,3210
"CDFW 2021","NA","2016-2017",2016,3123
"CDFW 2021","NA","2017-2018",2017,3104
"CDFW 2021","NA","2018-2019",2018,2754
"CDFW 2021","NA","2019-2020",2019,3128
"CDFW 2021","NA","2020-2021",2020,3194
