Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
FISH BUSINESS (MULTIFUNCTION),"$       61,500",N/A,N/A,"$    258,000","$     267,000","$     271,000","$     264,000","$    257,000","$    277,000","$      284,000"
FISH IMPORTER,"$       24,600",N/A,N/A,"$      51,200","$       52,400","$       52,400","$       48,000","$       60,000","$       64,000","$       76,000"
FISH PROCESSOR,"$     167,600","$     159,500","$     145,000","$       34,400","$      30,000","$      26,400","$      29,200","$      25,600","$      21,200","$       22,400"
FISH RECEIVER,"$       26,400",$                -,N/A,"$     130,800","$     110,000","$     112,000","$     124,400","$     131,600","$     124,400","$      127,200"
FISH WHOLESALER LICENSE,"$     388,900","$     361,500","$     310,000","$    113,400","$     103,410","$      92,070","$       86,670","$      95,040","$       95,310","$     102,330"
FISHERMAN'S RETAILER,"$       12,900",$                 -,"$       23,800","$      23,950","$      22,250","$       25,250","$       26,300","$      26,350","$       32,750","$       33,700"
LIVE FRESH WATER BAIT LICENSE,"$       10,200","$       14,300","$        9,200","$       14,795","$       13,255","$       13,145","$      14,520","$      14,190","$       15,675","$       16,280"
MARINE AQUARIA RECEIVERS LICENSE,N/A,N/A,N/A,"$         6,000","$         2,000",$                -,"$         2,000","$         3,000","$         2,000","$         4,000"
SPORT-CAUGHT FISH EXCHANGE,"$        2,100",$                 -,"$         2,258","$        1,757","$         1,450","$         1,650","$        1,650","$        1,500","$         1,300","$          1,550"
TOTAL COMMERCIAL FISH BUSINESS,"$     694,200","$     535,300","$     490,258","$     634,302","$     601,765","$     593,915","$     596,740","$     614,280","$    633,635","$     667,460"
